City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
397,Zhezkazgan,KZ,47.8043,67.7144,62.67,45,0,9.31,clear sky
398,Mercedes,AR,-34.6515,-59.4307,46.78,66,100,4.54,overcast clouds
399,Muhos,FI,64.808,25.9931,69.58,66,67,10.58,broken clouds
400,Yenagoa,NG,4.9247,6.2642,74.55,95,100,4.09,overcast clouds
401,Portel,BR,-1.9356,-50.8211,78.28,73,56,2.75,broken clouds
402,Vila Velha,BR,-20.3297,-40.2925,67.95,73,15,6.55,few clouds
403,Syracuse,IT,37.0881,15.2792,83.32,44,1,2.98,clear sky
404,Morshansk,RU,53.4435,41.8107,65.32,91,28,6.24,scattered clouds
405,Accra,GH,5.556,-0.1969,78.03,85,98,6.67,overcast clouds
406,Zyryanovsk,KZ,49.7386,84.2719,59.5,97,97,4.41,overcast clouds
407,Intipuca,SV,13.1969,-88.0544,84.27,65,3,4.56,clear sky
408,Bam,IR,29.106,58.357,91.87,10,69,9.46,broken clouds
409,Korem,ET,12.5058,39.5228,63.86,53,81,2.39,broken clouds
410,Kudahuvadhoo,MV,2.6708,72.8944,82.29,75,99,11.41,overcast clouds
411,Milyutinskaya,RU,48.6279,41.6679,59.16,53,79,8.3,broken clouds
412,Srebrenik,BA,44.7078,18.4881,66.65,70,0,5.91,clear sky
413,Jablah,SY,35.3614,35.9256,68.29,100,20,5.75,few clouds
414,San Luis,AR,-33.295,-66.3356,46.6,86,100,4.32,overcast clouds
415,Gualaquiza,EC,-3.4,-78.55,67.59,74,30,1.79,scattered clouds
416,Honningsvag,NO,70.9821,25.9704,62.35,55,18,12.66,few clouds
417,Formiga,BR,-20.4644,-45.4264,65.25,59,51,1.45,broken clouds
418,Hobyo,SO,5.3505,48.5268,77.65,73,53,25.21,broken clouds
419,Margate,GB,51.3813,1.3862,56.3,82,80,1.99,broken clouds
420,Zaozerne,UA,45.1582,33.2787,66.25,93,43,10.74,scattered clouds
421,Kelamangalam,IN,12.6,77.85,70.21,80,100,14.07,overcast clouds
422,Sorland,NO,67.667,12.6934,51.66,93,96,14.05,overcast clouds
423,Abalak,RU,58.1286,68.5944,46.04,97,96,2.71,light rain
424,Sakete,BJ,6.7362,2.6587,74.62,94,90,3.47,overcast clouds
425,Dor Marunt,RO,44.45,26.9167,72.66,66,100,8.79,overcast clouds
426,Rocha,UY,-34.4833,-54.3333,49.66,91,100,3.33,moderate rain
427,Zaraza,VE,9.3503,-65.3245,72.55,98,99,5.77,overcast clouds
428,Sabzevar,IR,36.2126,57.6819,87.08,14,9,11.95,clear sky
429,Bekwai,GH,6.4534,-1.5774,71.53,98,99,3.38,overcast clouds
430,Salinopolis,BR,-0.6136,-47.3561,79.39,81,33,10.38,scattered clouds
431,Lodja,CD,-3.4833,23.4333,73.47,45,38,2.71,scattered clouds
432,Navrongo,GH,10.8956,-1.0921,82.44,63,53,5.32,broken clouds
433,Krasnogvardeyskoye,RU,45.8456,41.5186,66.43,80,99,4.88,overcast clouds
434,Helsinki,FI,60.1695,24.9355,71.62,81,0,2.3,clear sky
435,Kurchatov,RU,51.6601,35.6521,66.61,89,1,4.18,clear sky
436,Terrace Bay,CA,48.7834,-87.1,47.12,76,21,8.88,few clouds
437,Am Timan,TD,11.0297,20.2827,77.11,69,100,4.63,light rain
438,Khorramshahr,IR,30.4397,48.1664,82.35,17,0,17.45,clear sky
439,Zheleznodorozhnyy,RU,55.7503,38.0042,73.81,65,21,4.0,few clouds
440,Delta Del Tigre,UY,-34.7633,-56.3853,48.31,88,100,2.04,light rain
441,Naliya,IN,23.2667,68.8333,83.19,80,81,14.45,broken clouds
442,Nicoya,CR,10.1483,-85.452,73.08,92,100,1.79,light rain
443,Camapua,BR,-19.5314,-54.0439,69.46,47,7,3.44,clear sky
444,Nioro,GM,13.35,-15.75,81.86,73,95,10.54,overcast clouds
445,Kizema,RU,61.113,44.8302,41.11,81,10,5.61,clear sky
446,Banda Aceh,ID,5.5577,95.3222,78.62,83,99,11.41,overcast clouds
447,Pital,CO,2.2665,-75.8044,71.76,78,28,5.08,scattered clouds
448,Akdepe,TM,42.0551,59.3788,87.12,28,1,16.96,clear sky
449,Yining,CN,29.0361,114.5636,81.07,84,97,2.93,overcast clouds
450,Mbale,UG,1.0821,34.175,63.54,87,80,4.97,broken clouds
451,Tamale,GH,9.4008,-0.8393,78.85,76,42,6.76,scattered clouds
452,Andros Town,BS,24.7,-77.7667,83.52,65,99,7.87,light rain
453,Riberalta,BO,-10.9833,-66.1,84.4,61,3,0.0,clear sky
454,Caravelas,BR,-17.7125,-39.2481,67.51,79,29,7.92,scattered clouds
455,Timbiqui,CO,2.7717,-77.6654,76.21,90,79,6.26,moderate rain
456,Prado,BR,-17.3411,-39.2208,65.79,76,37,8.19,scattered clouds
457,Oromocto,CA,45.8351,-66.4792,64.54,98,100,12.66,mist
458,Aswan,EG,24.0934,32.907,90.0,19,0,15.05,clear sky
459,Xanlar,AZ,40.5869,46.3158,67.51,73,75,11.5,broken clouds
460,Bogorodskoye,RU,56.55,37.8833,63.46,89,26,5.44,scattered clouds
461,Rundu,NA,-17.9333,19.7667,60.75,44,84,11.79,broken clouds
462,Colares,PT,38.7992,-9.4469,63.28,65,0,28.99,clear sky
463,Pisco,PE,-13.7,-76.2167,64.45,72,28,18.41,haze
464,Porto Walter,BR,-8.2686,-72.7439,76.33,65,3,0.94,clear sky
465,Mabaruma,GY,8.2,-59.7833,74.17,97,95,3.62,overcast clouds
466,Pogar,RU,52.554,33.2591,68.59,88,8,5.91,clear sky
467,Kalmunai,LK,7.4167,81.8167,79.05,78,96,5.79,overcast clouds
468,Mindelo,CV,16.8901,-24.9804,74.75,69,20,21.85,few clouds
469,Barra Patuca,HN,15.8,-84.2833,80.62,82,11,8.03,few clouds
470,Borisovka,RU,50.6236,35.9903,68.14,83,1,3.71,clear sky
471,Gualeguay,AR,-33.1416,-59.3097,49.64,86,100,3.13,moderate rain
472,Chimbote,PE,-9.0853,-78.5783,63.77,84,81,11.12,broken clouds
473,Vallenar,CL,-28.5708,-70.7581,55.58,68,35,3.6,scattered clouds
474,Waddan,LY,29.1614,16.139,87.24,18,0,15.28,clear sky
475,Hwange,ZW,-18.3693,26.5019,60.8,50,79,10.4,broken clouds
476,Waycross,US,31.2136,-82.354,93.45,57,69,12.48,broken clouds
477,Parakou,BJ,9.3372,2.6303,73.98,87,51,5.66,broken clouds
478,Rovaniemi,FI,66.5,25.7167,65.61,63,0,12.66,clear sky
479,Lucea,JM,18.451,-78.1736,81.1,76,87,2.73,overcast clouds
480,Boyuibe,BO,-20.4167,-63.2833,69.22,52,14,7.58,few clouds
481,Mitu,CO,1.1983,-70.1733,75.15,82,93,0.89,overcast clouds
482,Varzea Da Palma,BR,-17.5981,-44.7308,67.14,53,12,4.81,few clouds
483,Mallow,IE,52.1333,-8.6333,56.5,97,100,18.32,moderate rain
484,Tororo,UG,0.693,34.1809,63.32,88,89,4.59,overcast clouds
485,Le Port,RE,-20.9373,55.2919,69.26,67,3,10.63,clear sky
486,Calbuco,CL,-41.768,-73.1273,49.21,86,100,17.27,light rain
487,Tazovskiy,RU,67.4667,78.7,50.61,77,100,18.03,light rain
488,Najran,SA,17.4924,44.1277,82.6,18,84,3.38,broken clouds
489,Kardla,EE,58.9978,22.7492,66.06,70,93,6.62,overcast clouds
490,Sept-Iles,CA,50.2001,-66.3821,59.05,98,100,0.49,overcast clouds
491,Yanam,IN,16.7333,82.2167,79.07,80,99,6.51,overcast clouds
492,Srikakulam,IN,18.3,83.9,81.88,77,100,2.13,overcast clouds
493,Oranjemund,NA,-28.55,16.4333,70.32,37,0,19.6,clear sky
494,Ouadda,CF,8.0777,22.4007,67.66,95,100,0.51,light rain
495,Antsohihy,MG,-14.8796,47.9875,68.29,60,0,9.89,clear sky
496,Surgut,RU,61.25,73.4167,50.18,87,40,11.18,light intensity shower rain
497,Sorkjosen,NO,69.8,20.9333,62.6,82,60,2.3,broken clouds
