City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
114,Cidreira,BR,2022-06-21 03:55:52,-30.1811,-50.2056,59.61,80,80,11.7
115,Tuljapur,IN,2022-06-21 03:55:52,18.0,76.0833,79.16,64,100,8.84
116,Ghanzi,BW,2022-06-21 03:55:53,-21.5667,21.7833,60.01,40,92,9.55
117,Krasnyy Yar,RU,2022-06-21 03:55:53,46.5331,48.3456,76.93,29,0,10.0
118,Suleja,NG,2022-06-21 03:55:54,9.1758,7.1808,70.05,92,79,2.71
119,Karoi,ZW,2022-06-21 03:55:54,-16.8099,29.6925,45.32,93,0,6.26
120,Praia,CV,2022-06-21 03:55:55,14.9215,-23.5087,75.74,94,75,8.05
121,Chuy,UY,2022-06-21 03:55:55,-33.6971,-53.4616,47.61,83,100,5.91
122,Cavalcante,BR,2022-06-21 03:55:56,-13.7975,-47.4583,63.75,48,1,4.05
123,Kruisfontein,ZA,2022-06-21 03:55:56,-34.0033,24.7314,51.89,81,45,5.97
124,Darnah,LY,2022-06-21 03:55:57,32.767,22.6367,71.76,73,0,10.65
125,Copiapo,CL,2022-06-21 03:55:57,-27.3667,-70.3333,51.49,95,55,1.45
126,Ystad,SE,2022-06-21 03:55:58,55.4297,13.8204,54.34,90,73,13.65
127,Santa Lucia,ES,2022-06-21 03:55:58,27.9117,-15.5407,63.77,83,75,17.27
128,Puerto Quijarro,BO,2022-06-21 03:55:59,-17.7833,-57.7667,69.89,74,1,0.87
129,Comodoro Rivadavia,AR,2022-06-21 03:55:59,-45.8667,-67.5,35.46,64,75,11.5
130,Ibaiti,BR,2022-06-21 03:56:00,-23.8486,-50.1878,54.59,96,4,2.62
131,Nisia Floresta,BR,2022-06-21 03:56:00,-6.0911,-35.2086,75.58,89,22,6.71
132,Bandarbeyla,SO,2022-06-21 03:56:01,9.4942,50.8122,82.56,58,82,30.56
133,Valparaiso,CL,2022-06-21 03:52:55,-33.0393,-71.6273,55.04,86,75,5.75
134,Pedasi,PA,2022-06-21 03:56:02,7.5333,-80.0333,76.06,82,78,6.35
